Month,WeekOfMonth,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,NumberOfSuppliments,NumberOfCars,BasePolicy,FraudFound
Mar,1,Pontiac,Rural,Mar,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,1 to 2,1 vehicle,Liability,No
Jun,2,Pontiac,Urban,Jun,2,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,41 to 50,Yes,1 to 2,1 vehicle,All Perils,No
Jan,4,Honda,Urban,Jan,4,Male,Married,39,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Sep,5,Toyota,Urban,Oct,1,Female,Single,39,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,1 to 2,1 vehicle,Liability,No
Nov,4,Pontiac,Urban,Nov,5,Female,Married,53,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,41 to 50,No,more than 5,1 vehicle,Liability,No
Sep,1,Pontiac,Urban,Sep,1,Male,Married,75,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,more than 7,over 65,No,none,1 vehicle,Liability,No
Nov,1,Pontiac,Urban,Dec,3,Female,Single,26,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,3 to 5,1 vehicle,Collision,No
Nov,3,Toyota,Urban,Nov,4,Male,Single,26,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,none,1 vehicle,All Perils,No
Aug,1,Toyota,Urban,Aug,1,Male,Married,26,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Collision,No
Aug,1,Pontiac,Urban,Aug,1,Male,Married,26,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Jan,4,Honda,Urban,May,3,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,31 to 35,Yes,more than 5,1 vehicle,Collision,No
Jul,4,Honda,Urban,Aug,1,Male,Married,26,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,1 to 2,1 vehicle,Liability,No
Aug,1,Toyota,Urban,Sep,1,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,none,1 vehicle,All Perils,Yes
Dec,2,Mazda,Urban,Dec,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,31 to 35,No,none,1 vehicle,Liability,No
Feb,2,Saab,Urban,Feb,2,Male,Married,26,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,Collision,No
Mar,3,Honda,Urban,Mar,5,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,31 to 35,No,none,1 vehicle,Collision,No
Nov,1,Dodge,Urban,Nov,3,Male,Single,26,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,31 to 35,No,more than 5,1 vehicle,All Perils,No
Aug,1,Toyota,Urban,Aug,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,31 to 35,No,more than 5,1 vehicle,Liability,No
